month,measure,quintile,ew_ret,vw_ret,n_stocks
2025-06,STR,1,0.3047716932865777,0.47998174060562865,25
2025-06,STR,2,0.07029591003653872,0.17303900001293085,24
2025-06,STR,3,0.0667975859051189,0.10531661535951192,24
2025-06,STR,4,0.19933785953642133,0.174943155695848,24
2025-06,STR,5,0.25281519904910627,0.18729470043420668,25
2025-06,STV,1,0.1208324079370128,0.22209245717848797,25
2025-06,STV,2,0.15567780501365439,0.12949535593419206,24
2025-06,STV,3,0.14834702266687042,0.11118865858054158,24
2025-06,STV,4,0.18189967652037883,0.10355625242060312,24
2025-06,STV,5,0.2932410616247595,0.3175593569526987,25
2025-07,STR,1,0.04245483995834096,0.060313293982868096,25
2025-07,STR,2,-0.007717445804201097,-0.05345206081579252,25
2025-07,STR,3,0.13916013644007674,0.20741457754421896,24
2025-07,STR,4,0.043549536797362565,0.09722551522919201,25
2025-07,STR,5,0.0085208514935404,0.02848700510230834,25
2025-07,STV,1,-0.0013249709646026852,0.09187194356591999,25
2025-07,STV,2,0.08113015761941425,0.12545601862619588,25
2025-07,STV,3,0.13798329833928816,0.29664802460059186,24
2025-07,STV,4,0.03897642243075839,0.03646703888964267,25
2025-07,STV,5,-0.030844062063770095,-0.054924197086777614,25
2025-08,STR,1,44.00319071018907,-0.012083292794179811,26
2025-08,STR,2,0.04346253303422043,0.0518406233527351,25
2025-08,STR,3,0.04274664649308537,-0.004263420093875685,25
2025-08,STR,4,0.022177996438034787,0.08320530366352379,25
2025-08,STR,5,0.10801134247811747,-0.019720079400587072,25
2025-08,STV,1,-0.021634187461935444,0.010143757450837754,26
2025-08,STV,2,0.1067952579847665,0.06618717271668373,25
2025-08,STV,3,-0.03321083411393721,-0.03787887302370268,25
2025-08,STV,4,0.08422850088966342,0.03884768952232369,25
2025-08,STV,5,45.844403487239994,0.05566039918539368,25
2025-09,STR,1,-0.16335257113439525,-0.20072214371506572,26
2025-09,STR,2,-0.13674952028598883,-0.15977204165040862,26
2025-09,STR,3,-0.03167463833635841,-0.051558312222238764,26
2025-09,STR,4,-0.18272262964594363,-0.07745861940203004,26
2025-09,STR,5,0.18457226290836448,-0.15513205676921624,26
2025-09,STV,1,-0.1783189347790777,-0.07759314624108475,26
2025-09,STV,2,-0.06604538311720279,-0.25337074078702126,26
2025-09,STV,3,0.1061895885891825,0.046451056569952416,26
2025-09,STV,4,-0.10696878553274702,-0.12318496520847382,26
